Key	Frame	Index
1f1ea-1f1ec	1	90
1f1ea-1f1ed	1	91
1f1ea-1f1f7	1	92
1f1ea-1f1f8	1	93
1f1ea-1f1f9	1	94
1f1ea-1f1fa	1	95
1f1eb	1	96
1f1eb-1f1ee	1	97
1f1eb-1f1ef	1	98
1f1eb-1f1f0	1	99
1f1eb-1f1f2	1	100
1f1eb-1f1f4	1	101
1f1eb-1f1f7	1	102
1f1ec	1	103
1f1ec-1f1e6	1	104
1f1ec-1f1e7	1	105
1f1ec-1f1e9	1	106
1f1ec-1f1ea	1	107
1f1ec-1f1eb	1	108
1f1ec-1f1ec	1	109
1f1ec-1f1ed	1	110
1f1ec-1f1ee	1	111
1f1ec-1f1f1	1	112
1f1ec-1f1f2	1	113
1f1ec-1f1f3	1	114
1f1ec-1f1f5	1	115
1f1ec-1f1f6	1	116
1f1ec-1f1f7	1	117
1f1ec-1f1f8	1	118
1f1ec-1f1f9	1	119
1f1ec-1f1fa	1	120
1f1ec-1f1fc	1	121
1f1ec-1f1fe	1	122
1f1ed	1	123
1f1ed-1f1f0	1	124
1f1ed-1f1f2	1	125
1f1ed-1f1f3	1	126
1f1ed-1f1f7	1	127
1f1ed-1f1f9	1	128
1f1ed-1f1fa	1	129
1f1ee	1	130
1f1ee-1f1e8	1	131
1f1ee-1f1e9	1	132
1f1ee-1f1ea	1	133
1f1ee-1f1f1	1	134
1f1ee-1f1f2	1	135
1f1ee-1f1f3	1	136
1f1ee-1f1f4	1	137
1f1ee-1f1f6	1	138
1f1ee-1f1f7	1	139
1f1ee-1f1f8	1	140
1f1ee-1f1f9	1	141
1f1ef	1	142
1f1ef-1f1ea	1	143
1f1ef-1f1f2	1	144
1f1ef-1f1f4	1	145
1f1ef-1f1f5	1	146
1f1f0	1	147
1f1f0-1f1ea	1	148
1f1f0-1f1ec	1	149
1f1f0-1f1ed	1	150
1f1f0-1f1ee	1	151
1f1f0-1f1f2	1	152
1f1f0-1f1f3	1	153
1f1f0-1f1f5	1	154
1f1f0-1f1f7	1	155
1f1f0-1f1fc	1	156
1f1f0-1f1fe	1	157
1f1f0-1f1ff	1	158
1f1f1	1	159
1f1f1-1f1e6	1	160
1f1f1-1f1e7	1	161
1f1f1-1f1e8	1	162
1f1f1-1f1ee	1	163
1f1f1-1f1f0	1	164
1f1f1-1f1f7	1	165
1f1f1-1f1f8	1	166
1f1f1-1f1f9	1	167
1f1f1-1f1fa	1	168
1f1f1-1f1fb	1	169
1f1f1-1f1fe	1	170
1f1f2	1	171
1f1f2-1f1e6	1	172
1f1f2-1f1e8	1	173
1f1f2-1f1e9	1	174
1f1f2-1f1ea	1	175
1f1f2-1f1eb	1	176
1f1f2-1f1ec	1	177
1f1f2-1f1ed	1	178
1f1f2-1f1f0	1	179
1f1f2-1f1f1	1	180
1f1f2-1f1f2	1	181
1f1f2-1f1f3	1	182
1f1f2-1f1f4	1	183
1f1f2-1f1f5	1	184
1f1f2-1f1f6	1	185
1f1f2-1f1f7	1	186
1f1f2-1f1f8	1	187
1f1f2-1f1f9	1	188
1f1f2-1f1fa	1	189
1f1f2-1f1fb	1	190
1f1f2-1f1fc	1	191
1f1f2-1f1fd	1	192
1f1f2-1f1fe	1	193
1f1f2-1f1ff	1	194
1f1f3	1	195
1f1f3-1f1e6	1	196
1f1f3-1f1e8	1	197
1f1f3-1f1ea	1	198
1f1f3-1f1eb	1	199
1f1f3-1f1ec	1	200
1f1f3-1f1ee	1	201
1f1f3-1f1f1	1	202
1f1f3-1f1f4	1	203
1f1f3-1f1f5	1	204
1f1f3-1f1f7	1	205
1f1f3-1f1fa	1	206
1f1f3-1f1ff	1	207
1f1f4	1	208
1f1f4-1f1f2	1	209
1f1f5	1	210
1f1f5-1f1e6	1	211
1f1f5-1f1ea	1	212
1f1f5-1f1eb	1	213
1f1f5-1f1ec	1	214
1f1f5-1f1ed	1	215
1f1f5-1f1f0	1	216
1f1f5-1f1f1	1	217
1f1f5-1f1f2	1	218
1f1f5-1f1f3	1	219
1f1f5-1f1f7	1	220
1f1f5-1f1f8	1	221
1f1f5-1f1f9	1	222
1f1f5-1f1fc	1	223
1f1f5-1f1fe	1	224
1f1f6	1	225
1f1f6-1f1e6	1	226
1f1f7	1	227
1f1f7-1f1ea	1	228
1f1f7-1f1f4	1	229
1f1f7-1f1f8	1	230
1f1f7-1f1fa	1	231
1f1f7-1f1fc	1	232
1f1f8	1	233
1f1f8-1f1e6	1	234
1f1f8-1f1e7	1	235
1f1f8-1f1e8	1	236
1f1f8-1f1e9	1	237
1f1f8-1f1ea	1	238
1f1f8-1f1ec	1	239
1f1f8-1f1ed	1	240
1f1f8-1f1ee	1	241
1f1f8-1f1ef	1	242
1f1f8-1f1f0	1	243
1f1f8-1f1f1	1	244
1f1f8-1f1f2	1	245
1f1f8-1f1f3	1	246
1f1f8-1f1f4	1	247
1f1f8-1f1f7	1	248
1f1f8-1f1f8	1	249
1f1f8-1f1f9	1	250
1f1f8-1f1fb	1	251
1f1f8-1f1fd	1	252
1f1f8-1f1fe	1	253
1f1f8-1f1ff	1	254
1f1f9	1	255
1f1f9-1f1e6	1	256
1f1f9-1f1e8	1	257
1f1f9-1f1e9	1	258
1f1f9-1f1eb	1	259
1f1f9-1f1ec	1	260
1f1f9-1f1ed	1	261
1f1f9-1f1ef	1	262
1f1f9-1f1f0	1	263
1f1f9-1f1f1	1	264
1f1f9-1f1f2	1	265
1f1f9-1f1f3	1	266
1f1f9-1f1f4	1	267
1f1f9-1f1f7	1	268
1f1f9-1f1f9	1	269
1f1f9-1f1fb	1	270
1f1f9-1f1fc	1	271
1f1f9-1f1ff	1	272
1f1fa	1	273
1f1fa-1f1e6	1	274
1f1fa-1f1ec	1	275
1f1fa-1f1f2	1	276
1f1fa-1f1f3	1	277
1f1fa-1f1f8	1	278
1f1fa-1f1fe	1	279
1f1fa-1f1ff	1	280
1f1fb	1	281
1f1fb-1f1e6	1	282
1f1fb-1f1e8	1	283
1f1fb-1f1ea	1	284
1f1fb-1f1ec	1	285
1f1fb-1f1ee	1	286
1f1fb-1f1f3	1	287
1f1fb-1f1fa	1	288
1f1fc	1	289
1f1fc-1f1eb	1	290
1f1fc-1f1f8	1	291
1f1fd	1	292
1f1fd-1f1f0	1	293
1f1fe	1	294
1f1fe-1f1ea	1	295
1f1fe-1f1f9	1	296
1f1ff	1	297
1f1ff-1f1e6	1	298
1f1ff-1f1f2	1	299
1f1ff-1f1fc	1	300
1f201	1	301
1f202	1	302
1f21a	1	303
1f22f	1	304
1f232	1	305
1f233	1	306
1f234	1	307
1f235	1	308
1f236	1	309
1f237	1	310
1f238	1	311
1f239	1	312
1f23a	1	313
1f250	1	314
